exp_id,system,product_mix,automation_level,caseID,product_id,product_type,station_id,component_name,step_name,quality,start_time,end_time,process_duration
exp019,system_03,hd,a04,1,prod_001_car_hd,car_hd,ws-01_S1S2,comp_001_BOSP_1/2,BOSP,1.0,2025-01-01 07:12:04,2025-01-01 07:20:53,8.8
exp019,system_03,hd,a04,1,prod_001_car_hd,car_hd,ws-01_S1S2,comp_001_BOSP_2/2,BOSP,1.0,2025-01-01 07:21:53,2025-01-01 07:30:43,8.8
exp019,system_03,hd,a04,1,prod_001_car_hd,car_hd,ws-01_S1S2,comp_001_BAT,BAT,1.0,2025-01-01 07:31:43,2025-01-01 07:38:43,7.0
exp019,system_03,hd,a04,2,prod_002_car_hd,car_hd,ws-01_S1S2,comp_002_BOSP_1/2,BOSP,1.0,2025-01-01 07:43:43,2025-01-01 07:52:33,8.8
exp019,system_03,hd,a04,2,prod_002_car_hd,car_hd,ws-01_S1S2,comp_002_BOSP_2/2,BOSP,1.0,2025-01-01 07:53:33,2025-01-01 08:02:23,8.8
exp019,system_03,hd,a04,1,prod_001_car_hd,car_hd,ws-02_S3S4,comp_001_RT_1/2,RT,1.0,2025-01-01 07:56:38,2025-01-01 08:06:27,9.8
exp019,system_03,hd,a04,2,prod_002_car_hd,car_hd,ws-01_S1S2,comp_002_BAT,BAT,1.0,2025-01-01 08:03:23,2025-01-01 08:10:23,7.0
exp019,system_03,hd,a04,1,prod_001_car_hd,car_hd,ws-02_S3S4,comp_001_RT_2/2,RT,1.0,2025-01-01 08:07:27,2025-01-01 08:17:17,9.8
exp019,system_03,hd,a04,3,prod_003_car_hd,car_hd,ws-01_S1S2,comp_003_BOSP_1/2,BOSP,1.0,2025-01-01 08:15:23,2025-01-01 08:24:13,8.8
exp019,system_03,hd,a04,1,prod_001_car_hd,car_hd,ws-02_S3S4,comp_001_FT_1/2,FT,1.0,2025-01-01 08:18:17,2025-01-01 08:24:17,6.0
exp019,system_03,hd,a04,3,prod_003_car_hd,car_hd,ws-01_S1S2,comp_003_BOSP_2/2,BOSP,1.0,2025-01-01 08:25:13,2025-01-01 08:34:02,8.8
exp019,system_03,hd,a04,1,prod_001_car_hd,car_hd,ws-02_S3S4,comp_001_FT_2/2,FT,1.0,2025-01-01 08:25:17,2025-01-01 08:31:17,6.0
exp019,system_03,hd,a04,3,prod_003_car_hd,car_hd,ws-01_S1S2,comp_003_BAT,BAT,1.0,2025-01-01 08:35:02,2025-01-01 08:42:02,7.0
exp019,system_03,hd,a04,2,prod_002_car_hd,car_hd,ws-02_S3S4,comp_002_RT_1/2,RT,1.0,2025-01-01 08:36:17,2025-01-01 08:46:07,9.8
exp019,system_03,hd,a04,1,prod_001_car_hd,car_hd,ws-03_S5,group_001_FRONT_AXIS_GROUP,FRONT_AXIS_GROUP,1.0,2025-01-01 08:46:15,2025-01-01 09:09:45,23.5
exp019,system_03,hd,a04,4,prod_004_car_hd,car_hd,ws-01_S1S2,comp_004_BOSP_1/2,BOSP,1.0,2025-01-01 08:47:02,2025-01-01 08:55:52,8.8
exp019,system_03,hd,a04,2,prod_002_car_hd,car_hd,ws-02_S3S4,comp_002_RT_2/2,RT,1.0,2025-01-01 08:47:07,2025-01-01 08:56:57,9.8
exp019,system_03,hd,a04,4,prod_004_car_hd,car_hd,ws-01_S1S2,comp_004_BOSP_2/2,BOSP,1.0,2025-01-01 08:56:52,2025-01-01 09:05:42,8.8
exp019,system_03,hd,a04,2,prod_002_car_hd,car_hd,ws-02_S3S4,comp_002_FT_1/2,FT,1.0,2025-01-01 08:57:57,2025-01-01 09:03:57,6.0
exp019,system_03,hd,a04,2,prod_002_car_hd,car_hd,ws-02_S3S4,comp_002_FT_2/2,FT,1.0,2025-01-01 09:04:57,2025-01-01 09:10:57,6.0
exp019,system_03,hd,a04,4,prod_004_car_hd,car_hd,ws-01_S1S2,comp_004_BAT,BAT,1.0,2025-01-01 09:06:42,2025-01-01 09:13:42,7.0
exp019,system_03,hd,a04,1,prod_001_car_hd,car_hd,ws-03_S5,group_001_REAR_AXIS_GROUP,REAR_AXIS_GROUP,1.0,2025-01-01 09:10:45,2025-01-01 09:10:51,0.1
exp019,system_03,hd,a04,3,prod_003_car_hd,car_hd,ws-02_S3S4,comp_003_RT_1/2,RT,1.0,2025-01-01 09:15:57,2025-01-01 09:25:47,9.8
exp019,system_03,hd,a04,5,prod_005_car_hd,car_hd,ws-01_S1S2,comp_005_BOSP_1/2,BOSP,1.0,2025-01-01 09:18:42,2025-01-01 09:27:32,8.8
exp019,system_03,hd,a04,3,prod_003_car_hd,car_hd,ws-02_S3S4,comp_003_RT_2/2,RT,1.0,2025-01-01 09:26:47,2025-01-01 09:36:36,9.8
exp019,system_03,hd,a04,5,prod_005_car_hd,car_hd,ws-01_S1S2,comp_005_BOSP_2/2,BOSP,1.0,2025-01-01 09:28:32,2025-01-01 09:37:22,8.8
exp019,system_03,hd,a04,2,prod_002_car_hd,car_hd,ws-03_S5,group_002_FRONT_AXIS_GROUP,FRONT_AXIS_GROUP,1.0,2025-01-01 09:33:05,2025-01-01 09:56:35,23.5
exp019,system_03,hd,a04,1,group_001_REAR_AXIS_GROUP,car_hd,ws-04_S7,comp_001_CHS,CHS,1.0,2025-01-01 09:35:55,2025-01-01 09:56:45,20.8
exp019,system_03,hd,a04,3,prod_003_car_hd,car_hd,ws-02_S3S4,comp_003_FT_1/2,FT,1.0,2025-01-01 09:37:36,2025-01-01 09:43:36,6.0
exp019,system_03,hd,a04,5,prod_005_car_hd,car_hd,ws-01_S1S2,comp_005_BAT,BAT,1.0,2025-01-01 09:38:22,2025-01-01 09:45:22,7.0
exp019,system_03,hd,a04,1,group_001_FRONT_AXIS_GROUP,car_hd,ws-05_S6S8,comp_001_SSA_1/2,SSA,1.0,2025-01-01 09:40:25,2025-01-01 09:54:15,13.8
exp019,system_03,hd,a04,3,prod_003_car_hd,car_hd,ws-02_S3S4,comp_003_FT_2/2,FT,1.0,2025-01-01 09:44:36,2025-01-01 09:50:36,6.0
exp019,system_03,hd,a04,6,prod_006_car_hd,car_hd,ws-01_S1S2,comp_006_BOSP_1/2,BOSP,1.0,2025-01-01 09:50:22,2025-01-01 09:59:11,8.8
exp019,system_03,hd,a04,1,group_001_FRONT_AXIS_GROUP,car_hd,ws-05_S6S8,comp_001_SSA_2/2,SSA,1.0,2025-01-01 09:55:15,2025-01-01 10:09:04,13.8
exp019,system_03,hd,a04,4,prod_004_car_hd,car_hd,ws-02_S3S4,comp_004_RT_1/2,RT,1.0,2025-01-01 09:55:36,2025-01-01 10:05:26,9.8
exp019,system_03,hd,a04,2,prod_002_car_hd,car_hd,ws-03_S5,group_002_REAR_AXIS_GROUP,REAR_AXIS_GROUP,1.0,2025-01-01 09:57:35,2025-01-01 09:57:41,0.1
exp019,system_03,hd,a04,6,prod_006_car_hd,car_hd,ws-01_S1S2,comp_006_BOSP_2/2,BOSP,1.0,2025-01-01 10:00:11,2025-01-01 10:09:01,8.8
exp019,system_03,hd,a04,4,prod_004_car_hd,car_hd,ws-02_S3S4,comp_004_RT_2/2,RT,1.0,2025-01-01 10:06:26,2025-01-01 10:16:16,9.8
exp019,system_03,hd,a04,3,prod_003_car_hd,car_hd,ws-03_S5,group_003_FRONT_AXIS_GROUP,FRONT_AXIS_GROUP,1.0,2025-01-01 10:08:57,2025-01-01 10:32:27,23.5
exp019,system_03,hd,a04,6,prod_006_car_hd,car_hd,ws-01_S1S2,comp_006_BAT,BAT,1.0,2025-01-01 10:10:01,2025-01-01 10:17:01,7.0
exp019,system_03,hd,a04,1,group_001_FRONT_AXIS_GROUP,car_hd,ws-05_S6S8,comp_001_FAX,FAX,1.0,2025-01-01 10:10:04,2025-01-01 10:10:10,0.1
exp019,system_03,hd,a04,4,prod_004_car_hd,car_hd,ws-02_S3S4,comp_004_FT_1/2,FT,1.0,2025-01-01 10:17:16,2025-01-01 10:23:16,6.0
exp019,system_03,hd,a04,2,group_002_REAR_AXIS_GROUP,car_hd,ws-04_S7,comp_002_CHS,CHS,1.0,2025-01-01 10:20:01,2025-01-01 10:40:51,20.8
exp019,system_03,hd,a04,7,prod_007_car_hd,car_hd,ws-01_S1S2,comp_007_BOSP_1/2,BOSP,1.0,2025-01-01 10:22:01,2025-01-01 10:30:51,8.8
exp019,system_03,hd,a04,4,prod_004_car_hd,car_hd,ws-02_S3S4,comp_004_FT_2/2,FT,1.0,2025-01-01 10:24:16,2025-01-01 10:30:16,6.0
exp019,system_03,hd,a04,2,group_002_FRONT_AXIS_GROUP,car_hd,ws-05_S6S8,comp_002_SSA_1/2,SSA,1.0,2025-01-01 10:24:31,2025-01-01 10:38:21,13.8
exp019,system_03,hd,a04,7,prod_007_car_hd,car_hd,ws-01_S1S2,comp_007_BOSP_2/2,BOSP,1.0,2025-01-01 10:31:51,2025-01-01 10:40:41,8.8
exp019,system_03,hd,a04,3,prod_003_car_hd,car_hd,ws-03_S5,group_003_REAR_AXIS_GROUP,REAR_AXIS_GROUP,1.0,2025-01-01 10:33:27,2025-01-01 10:33:33,0.1
exp019,system_03,hd,a04,5,prod_005_car_hd,car_hd,ws-02_S3S4,comp_005_RT_1/2,RT,1.0,2025-01-01 10:35:16,2025-01-01 10:45:06,9.8
exp019,system_03,hd,a04,2,group_002_FRONT_AXIS_GROUP,car_hd,ws-05_S6S8,comp_002_SSA_2/2,SSA,1.0,2025-01-01 10:39:21,2025-01-01 10:53:10,13.8
exp019,system_03,hd,a04,7,prod_007_car_hd,car_hd,ws-01_S1S2,comp_007_BAT,BAT,1.0,2025-01-01 10:41:41,2025-01-01 10:48:41,7.0
