system,step_id,product_type,component,branch_id,is_passive,mean_profit,std_profit,cumulative_profit,mean_revenue,std_revenue,cumulative_revenue,mean_cost,std_cost,cumulative_cost
system_02,1,car_sa,RT,main,False,2246.25,0.91,2246.25,2261.0,0.0,2261.0,14.75,0.91,14.75
system_02,2,car_sa,FT,main,False,2075.92,4.23,4322.17,2087.0,0.0,4348.0,11.08,4.23,25.83
system_02,3,car_sa,SSA,main,False,339.13,6.0,4661.3,365.0,0.0,4713.0,25.87,6.0,51.7
system_02,4,car_sa,BSA,main,False,890.98,2.03,5552.27,913.0,0.0,5626.0,22.02,2.03,73.73
system_02,4,car_sa,CSEB-NABS,main,False,2399.85,0.0,7952.12,2400.0,0.0,8026.0,0.15,0.0,73.88
system_02,0,car_rd,CAR,main,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system_02,1,car_rd,BOSP,main,False,752.21,0.0,752.21,765.0,0.0,765.0,12.79,0.0,12.79
system_02,2,car_rd,RT,main,False,2246.25,0.91,2998.46,2261.0,0.0,3026.0,14.75,0.91,27.54
system_02,3,car_rd,CORE,main,False,9537.6,5.07,12536.06,9565.0,0.0,12591.0,27.4,5.07,54.94
system_02,4,car_rd,BSA,main,False,890.98,2.03,13427.04,913.0,0.0,13504.0,22.02,2.03,76.96
system_02,4,car_rd,RAX_RD,main,False,4347.85,0.0,17774.89,4348.0,0.0,17852.0,0.15,0.0,77.11
system_03,0,car_hd,CAR,main,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system_03,1,car_hd,BOSP,main,False,752.21,0.0,752.21,765.0,0.0,765.0,12.79,0.0,12.79
system_03,2,car_hd,BAT,main,False,3641.83,0.0,4394.04,3652.0,0.0,4417.0,10.17,0.0,22.96
system_03,3,car_hd,RT,main,False,2246.25,0.91,6640.29,2261.0,0.0,6678.0,14.75,0.91,37.71
system_03,4,car_hd,FT,main,False,2075.92,4.23,8716.21,2087.0,0.0,8765.0,11.08,4.23,48.79
system_03,4,car_hd,AXIS_GROUP_COMBINED,main,False,0.0,0.0,8716.21,0.0,0.0,8765.0,0.0,0.0,48.79
